species_name	display_name	ah_id	ah_species	description	gprofiler_id	gprofiler_species	rdataclass	rdatadateadded	sourcetype	taxonomyid	title
Human	Human	AH114084	Homo sapiens	NCBI gene ID based annotations about Homo sapiens	hsapiens	Homo sapiens	OrgDb	2023-10-03	NCBI/ensembl	9606	org.Hs.eg.db.sqlite
Mouse	Mouse	AH114085	Mus musculus	NCBI gene ID based annotations about Mus musculus	mmusculus	Mus musculus	OrgDb	2023-10-03	NCBI/ensembl	10090	org.Mm.eg.db.sqlite
Rat	Rat	AH114087	Rattus norvegicus	NCBI gene ID based annotations about Rattus norvegicus	rnorvegicus	Rattus norvegicus	OrgDb	2023-10-03	NCBI/ensembl	10116	org.Rn.eg.db.sqlite
No organism	No organism	NA	No organism	NA	NA	NA	NA	NA	NA	NA	NA
Abrus cyaneus	Abrus cyaneus	AH115049	Abrus cyaneus	NCBI gene ID based annotations about Abrus cyaneus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	3816	org.Abrus_cyaneus.eg.sqlite
Acanthamoeba castellanii_Neff_strain	Acanthamoeba castellanii_Neff_strain	AH116001	Acanthamoeba castellanii_Neff_strain	NCBI gene ID based annotations about Acanthamoeba castellanii_Neff_strain	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	1257118	org.Acanthamoeba_castellanii_Neff_strain.eg.sqlite
Acanthaster planci	Acanthaster planci	AH115753	Acanthaster planci	NCBI gene ID based annotations about Acanthaster planci	apgca001949145v1	Acanthaster planci	OrgDb	2023-10-20	NCBI/UniProt	133434	org.Acanthaster_planci.eg.sqlite
Acanthisitta chloris	Acanthisitta chloris	AH116053	Acanthisitta chloris	NCBI gene ID based annotations about Acanthisitta chloris	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	57068	org.Acanthisitta_chloris.eg.sqlite
Acanthochromis polyacanthus	Acanthochromis polyacanthus	AH114972	Acanthochromis polyacanthus	NCBI gene ID based annotations about Acanthochromis polyacanthus	apolyacanthus	Acanthochromis polyacanthus	OrgDb	2023-10-20	NCBI/UniProt	80966	org.Acanthochromis_polyacanthus.eg.sqlite
Acanthopagrus latus	Acanthopagrus latus	AH114968	Acanthopagrus latus	NCBI gene ID based annotations about Acanthopagrus latus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	8177	org.Acanthopagrus_latus.eg.sqlite
Acanthophacelus reticulata	Acanthophacelus reticulata	AH115328	Acanthophacelus reticulata	NCBI gene ID based annotations about Acanthophacelus reticulata	preticulata	Poecilia reticulata	OrgDb	2023-10-20	NCBI/UniProt	8081	org.Acanthophacelus_reticulata.eg.sqlite
Accipiter gentilis	Accipiter gentilis	AH115681	Accipiter gentilis	NCBI gene ID based annotations about Accipiter gentilis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	8957	org.Accipiter_gentilis.eg.sqlite
Achaearanea tepidariorum	Achaearanea tepidariorum	AH115511	Achaearanea tepidariorum	NCBI gene ID based annotations about Achaearanea tepidariorum	ptgca000365465v3	Parasteatoda tepidariorum	OrgDb	2023-10-20	NCBI/UniProt	114398	org.Achaearanea_tepidariorum.eg.sqlite
Achroia grisella	Achroia grisella	AH116092	Achroia grisella	NCBI gene ID based annotations about Achroia grisella	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	688607	org.Achroia_grisella.eg.sqlite
Acinonyx jubatus	Acinonyx jubatus	AH114692	Acinonyx jubatus	NCBI gene ID based annotations about Acinonyx jubatus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	32536	org.Acinonyx_jubatus.eg.sqlite
Acipenser ruthenus	Acipenser ruthenus	AH114231	Acipenser ruthenus	NCBI gene ID based annotations about Acipenser ruthenus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	7906	org.Acipenser_ruthenus.eg.sqlite
Acomys russatus	Acomys russatus	AH115052	Acomys russatus	NCBI gene ID based annotations about Acomys russatus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	60746	org.Acomys_russatus.eg.sqlite
Acremonium falciforme	Acremonium falciforme	AH116094	Acremonium falciforme	NCBI gene ID based annotations about Acremonium falciforme	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	195108	org.Acremonium_falciforme.eg.sqlite
Acridium cancellatum	Acridium cancellatum	AH114201	Acridium cancellatum	NCBI gene ID based annotations about Acridium cancellatum	scgca023864275v2rs	Schistocerca cancellata	OrgDb	2023-10-20	NCBI/UniProt	274614	org.Acridium_cancellatum.eg.sqlite
Acropora convexa	Acropora convexa	AH114371	Acropora convexa	NCBI gene ID based annotations about Acropora convexa	amgca013753865v1	Acropora millepora	OrgDb	2023-10-20	NCBI/UniProt	45264	org.Acropora_convexa.eg.sqlite
Acropora digitifera	Acropora digitifera	AH114786	Acropora digitifera	NCBI gene ID based annotations about Acropora digitifera	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	70779	org.Acropora_digitifera.eg.sqlite
Actinia diaphana	Actinia diaphana	AH115441	Actinia diaphana	NCBI gene ID based annotations about Actinia diaphana	edgca001417965v1	Exaiptasia diaphana	OrgDb	2023-10-20	NCBI/UniProt	2652724	org.Actinia_diaphana.eg.sqlite
Actinia tenebrosa	Actinia tenebrosa	AH115545	Actinia tenebrosa	NCBI gene ID based annotations about Actinia tenebrosa	atgca009602425v1	Actinia tenebrosa	OrgDb	2023-10-20	NCBI/UniProt	6105	org.Actinia_tenebrosa.eg.sqlite
Actinidia eriantha	Actinidia eriantha	AH114326	Actinidia eriantha	NCBI gene ID based annotations about Actinidia eriantha	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	165200	org.Actinidia_eriantha.eg.sqlite
Acyrthosiphon pisum	Acyrthosiphon pisum	AH115636	Acyrthosiphon pisum	NCBI gene ID based annotations about Acyrthosiphon pisum	apgca005508785v2rs	Acyrthosiphon pisum	OrgDb	2023-10-20	NCBI/UniProt	7029	org.Acyrthosiphon_pisum.eg.sqlite
Adelges cooleyi	Adelges cooleyi	AH116050	Adelges cooleyi	NCBI gene ID based annotations about Adelges cooleyi	acgca023614345v1rs	Adelges cooleyi	OrgDb	2023-10-20	NCBI/UniProt	133065	org.Adelges_cooleyi.eg.sqlite
Aedes aegypti	Aedes aegypti	AH115668	Aedes aegypti	NCBI gene ID based annotations about Aedes aegypti	aalvpagwg	Aedes aegypti	OrgDb	2023-10-20	NCBI/UniProt	7159	org.Aedes_aegypti.eg.sqlite
