species_name	display_name	ah_id	ah_species	description	gprofiler_id	gprofiler_species	rdataclass	rdatadateadded	sourcetype	taxonomyid	title
Aedes albopictus	Aedes albopictus	AH114435	Aedes albopictus	NCBI gene ID based annotations about Aedes albopictus	aagca035046485v1rs	Aedes albopictus	OrgDb	2023-10-20	NCBI/UniProt	7160	org.Aedes_albopictus.eg.sqlite
Aegialitis vocifera	Aegialitis vocifera	AH116159	Aegialitis vocifera	NCBI gene ID based annotations about Aegialitis vocifera	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	50402	org.Aegialitis_vocifera.eg.sqlite
Aegilops squarrosa_subsp._squarrosa	Aegilops squarrosa_subsp._squarrosa	AH114256	Aegilops squarrosa_subsp._squarrosa	NCBI gene ID based annotations about Aegilops squarrosa_subsp._squarrosa	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	37682	org.Aegilops_squarrosa_subsp._squarrosa.eg.sqlite
Aethina tumida	Aethina tumida	AH116085	Aethina tumida	NCBI gene ID based annotations about Aethina tumida	atgca024364675v1rs	Aethina tumida	OrgDb	2023-10-20	NCBI/UniProt	116153	org.Aethina_tumida.eg.sqlite
Agelaius phoeniceus	Agelaius phoeniceus	AH115768	Agelaius phoeniceus	NCBI gene ID based annotations about Agelaius phoeniceus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	39638	org.Agelaius_phoeniceus.eg.sqlite
Agrilus feretrius	Agrilus feretrius	AH116055	Agrilus feretrius	NCBI gene ID based annotations about Agrilus feretrius	apgca000699045v2	Agrilus planipennis	OrgDb	2023-10-20	NCBI/UniProt	224129	org.Agrilus_feretrius.eg.sqlite
Ahaetulla prasina	Ahaetulla prasina	AH115605	Ahaetulla prasina	NCBI gene ID based annotations about Ahaetulla prasina	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	499056	org.Ahaetulla_prasina.eg.sqlite
Ailuropoda melanoleuca	Ailuropoda melanoleuca	AH114865	Ailuropoda melanoleuca	NCBI gene ID based annotations about Ailuropoda melanoleuca	amelanoleuca	Ailuropoda melanoleuca	OrgDb	2023-10-20	NCBI/UniProt	9646	org.Ailuropoda_melanoleuca.eg.sqlite
Aimophila crissalis	Aimophila crissalis	AH115738	Aimophila crissalis	NCBI gene ID based annotations about Aimophila crissalis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	40204	org.Aimophila_crissalis.eg.sqlite
Aleurodes tabaci	Aleurodes tabaci	AH116062	Aleurodes tabaci	NCBI gene ID based annotations about Aleurodes tabaci	btuganda1	Bemisia tabaci	OrgDb	2023-10-20	NCBI/UniProt	7038	org.Aleurodes_tabaci.eg.sqlite
Alexandromys fortis	Alexandromys fortis	AH115021	Alexandromys fortis	NCBI gene ID based annotations about Alexandromys fortis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	100897	org.Alexandromys_fortis.eg.sqlite
Alligator mississippiensis	Alligator mississippiensis	AH114882	Alligator mississippiensis	NCBI gene ID based annotations about Alligator mississippiensis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	8496	org.Alligator_mississippiensis.eg.sqlite
Alligator sinensis	Alligator sinensis	AH115463	Alligator sinensis	NCBI gene ID based annotations about Alligator sinensis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	38654	org.Alligator_sinensis.eg.sqlite
Alopex lagopus	Alopex lagopus	AH114930	Alopex lagopus	NCBI gene ID based annotations about Alopex lagopus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	494514	org.Alopex_lagopus.eg.sqlite
Alosa alosa	Alosa alosa	AH115136	Alosa alosa	NCBI gene ID based annotations about Alosa alosa	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	278164	org.Alosa_alosa.eg.sqlite
Alosa sapidissima	Alosa sapidissima	AH114322	Alosa sapidissima	NCBI gene ID based annotations about Alosa sapidissima	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	34773	org.Alosa_sapidissima.eg.sqlite
Altirana parkeri	Altirana parkeri	AH115602	Altirana parkeri	NCBI gene ID based annotations about Altirana parkeri	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	125878	org.Altirana_parkeri.eg.sqlite
Amaranthus gangeticus	Amaranthus gangeticus	AH114761	Amaranthus gangeticus	NCBI gene ID based annotations about Amaranthus gangeticus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	29722	org.Amaranthus_gangeticus.eg.sqlite
Ambassis ranga	Ambassis ranga	AH115186	Ambassis ranga	NCBI gene ID based annotations about Ambassis ranga	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	210632	org.Ambassis_ranga.eg.sqlite
Amblyraja radiata	Amblyraja radiata	AH115379	Amblyraja radiata	NCBI gene ID based annotations about Amblyraja radiata	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	386614	org.Amblyraja_radiata.eg.sqlite
Amborella trichopoda	Amborella trichopoda	AH115685	Amborella trichopoda	NCBI gene ID based annotations about Amborella trichopoda	atrichopoda	Amborella trichopoda	OrgDb	2023-10-20	NCBI/UniProt	13333	org.Amborella_trichopoda.eg.sqlite
Ammospiza nelsoni	Ammospiza nelsoni	AH115765	Ammospiza nelsoni	NCBI gene ID based annotations about Ammospiza nelsoni	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	2857394	org.Ammospiza_nelsoni.eg.sqlite
Amphibalanus amphitrite	Amphibalanus amphitrite	AH114837	Amphibalanus amphitrite	NCBI gene ID based annotations about Amphibalanus amphitrite	aagca019059575v1	Amphibalanus amphitrite	OrgDb	2023-10-20	NCBI/UniProt	1232801	org.Amphibalanus_amphitrite.eg.sqlite
Amphibolurus vitticeps	Amphibolurus vitticeps	AH115580	Amphibolurus vitticeps	NCBI gene ID based annotations about Amphibolurus vitticeps	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	103695	org.Amphibolurus_vitticeps.eg.sqlite
Amphilophus centrarchus	Amphilophus centrarchus	AH115058	Amphilophus centrarchus	NCBI gene ID based annotations about Amphilophus centrarchus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	63155	org.Amphilophus_centrarchus.eg.sqlite
Amphimedon queenslandica	Amphimedon queenslandica	AH115381	Amphimedon queenslandica	NCBI gene ID based annotations about Amphimedon queenslandica	aqueenslandica	Amphimedon queenslandica	OrgDb	2023-10-20	NCBI/UniProt	400682	org.Amphimedon_queenslandica.eg.sqlite
Amphioxus floridae	Amphioxus floridae	AH115009	Amphioxus floridae	NCBI gene ID based annotations about Amphioxus floridae	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	7739	org.Amphioxus_floridae.eg.sqlite
Amphiprion ocellaris	Amphiprion ocellaris	AH115157	Amphiprion ocellaris	NCBI gene ID based annotations about Amphiprion ocellaris	aocellaris	Amphiprion ocellaris	OrgDb	2023-10-20	NCBI/UniProt	80972	org.Amphiprion_ocellaris.eg.sqlite
Amphiprion testudineus	Amphiprion testudineus	AH115277	Amphiprion testudineus	NCBI gene ID based annotations about Amphiprion testudineus	atestudineus	Anabas testudineus	OrgDb	2023-10-20	NCBI/UniProt	64144	org.Amphiprion_testudineus.eg.sqlite
Amyelois transitella	Amyelois transitella	AH116147	Amyelois transitella	NCBI gene ID based annotations about Amyelois transitella	atgca032362555v1rs	Amyelois transitella	OrgDb	2023-10-20	NCBI/UniProt	680683	org.Amyelois_transitella.eg.sqlite
Amygdalus communis	Amygdalus communis	AH115281	Amygdalus communis	NCBI gene ID based annotations about Amygdalus communis	pdulcis	Prunus dulcis	OrgDb	2023-10-20	NCBI/UniProt	3755	org.Amygdalus_communis.eg.sqlite
Amygdalus persica	Amygdalus persica	AH115338	Amygdalus persica	NCBI gene ID based annotations about Amygdalus persica	ppersica	Prunus persica	OrgDb	2023-10-20	NCBI/UniProt	3760	org.Amygdalus_persica.eg.sqlite
Ananas comosus	Ananas comosus	AH115392	Ananas comosus	NCBI gene ID based annotations about Ananas comosus	acomosus	Ananas comosus	OrgDb	2023-10-20	NCBI/UniProt	4615	org.Ananas_comosus.eg.sqlite
Anarrhichthys ocellatus	Anarrhichthys ocellatus	AH115453	Anarrhichthys ocellatus	NCBI gene ID based annotations about Anarrhichthys ocellatus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	433405	org.Anarrhichthys_ocellatus.eg.sqlite
Anas atrata	Anas atrata	AH115746	Anas atrata	NCBI gene ID based annotations about Anas atrata	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	8868	org.Anas_atrata.eg.sqlite
Anas boschas	Anas boschas	AH115435	Anas boschas	NCBI gene ID based annotations about Anas boschas	aplatyrhynchos	Anas platyrhynchos	OrgDb	2023-10-20	NCBI/UniProt	8839	org.Anas_boschas.eg.sqlite
Anas cygnoid	Anas cygnoid	AH115543	Anas cygnoid	NCBI gene ID based annotations about Anas cygnoid	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	8845	org.Anas_cygnoid.eg.sqlite
Anas fuligula	Anas fuligula	AH115829	Anas fuligula	NCBI gene ID based annotations about Anas fuligula	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	219594	org.Anas_fuligula.eg.sqlite
Anas jamaicensis	Anas jamaicensis	AH115502	Anas jamaicensis	NCBI gene ID based annotations about Anas jamaicensis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	8884	org.Anas_jamaicensis.eg.sqlite
Anas olor	Anas olor	AH115529	Anas olor	NCBI gene ID based annotations about Anas olor	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	8869	org.Anas_olor.eg.sqlite
Anastrepha ludens	Anastrepha ludens	AH115821	Anastrepha ludens	NCBI gene ID based annotations about Anastrepha ludens	algca028408465v1rs	Anastrepha ludens	OrgDb	2023-10-20	NCBI/UniProt	28586	org.Anastrepha_ludens.eg.sqlite
Anastrepha obliqua	Anastrepha obliqua	AH115760	Anastrepha obliqua	NCBI gene ID based annotations about Anastrepha obliqua	aogca027943255v1rs	Anastrepha obliqua	OrgDb	2023-10-20	NCBI/UniProt	95512	org.Anastrepha_obliqua.eg.sqlite
Andrographis paniculata	Andrographis paniculata	AH115211	Andrographis paniculata	NCBI gene ID based annotations about Andrographis paniculata	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	175694	org.Andrographis_paniculata.eg.sqlite
Andropogon sorghum	Andropogon sorghum	AH114725	Andropogon sorghum	NCBI gene ID based annotations about Andropogon sorghum	sbicolor	Sorghum bicolor	OrgDb	2023-10-20	NCBI/UniProt	4558	org.Andropogon_sorghum.eg.sqlite
Angill angill	Angill angill	AH114840	Angill angill	NCBI gene ID based annotations about Angill angill	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	7936	org.Angill_angill.eg.sqlite
Anisochrysa carnea	Anisochrysa carnea	AH115966	Anisochrysa carnea	NCBI gene ID based annotations about Anisochrysa carnea	ccgca905475395v1rs	Chrysoperla carnea	OrgDb	2023-10-20	NCBI/UniProt	189513	org.Anisochrysa_carnea.eg.sqlite
Anneissia japonica	Anneissia japonica	AH115390	Anneissia japonica	NCBI gene ID based annotations about Anneissia japonica	ajgca011630105v1	Anneissia japonica	OrgDb	2023-10-20	NCBI/UniProt	1529436	org.Anneissia_japonica.eg.sqlite
Anolis carolinensis	Anolis carolinensis	AH115563	Anolis carolinensis	NCBI gene ID based annotations about Anolis carolinensis	acarolinensis	Anolis carolinensis	OrgDb	2023-10-20	NCBI/UniProt	28377	org.Anolis_carolinensis.eg.sqlite
Anopheles arabiensis	Anopheles arabiensis	AH115985	Anopheles arabiensis	NCBI gene ID based annotations about Anopheles arabiensis	aarabiensis	Anopheles arabiensis	OrgDb	2023-10-20	NCBI/UniProt	7173	org.Anopheles_arabiensis.eg.sqlite
Anopheles funestus	Anopheles funestus	AH116132	Anopheles funestus	NCBI gene ID based annotations about Anopheles funestus	afgca943734845v1rs	Anopheles funestus	OrgDb	2023-10-20	NCBI/UniProt	62324	org.Anopheles_funestus.eg.sqlite
Anopheles gambiae	Anopheles gambiae	AH114075	Anopheles gambiae	NCBI gene ID based annotations about Anopheles gambiae	NA	NA	OrgDb	2023-10-03	NCBI/ensembl	180454	org.Ag.eg.db.sqlite
Anopheles merus	Anopheles merus	AH115932	Anopheles merus	NCBI gene ID based annotations about Anopheles merus	amerus	Anopheles merus	OrgDb	2023-10-20	NCBI/UniProt	30066	org.Anopheles_merus.eg.sqlite
Anopheles mysorensis	Anopheles mysorensis	AH116033	Anopheles mysorensis	NCBI gene ID based annotations about Anopheles mysorensis	astephensi	Anopheles stephensi	OrgDb	2023-10-20	NCBI/UniProt	30069	org.Anopheles_mysorensis.eg.sqlite
Anoplophora glabripennis	Anoplophora glabripennis	AH115925	Anoplophora glabripennis	NCBI gene ID based annotations about Anoplophora glabripennis	aglabripennis	Anoplophora glabripennis	OrgDb	2023-10-20	NCBI/UniProt	217634	org.Anoplophora_glabripennis.eg.sqlite
Anoplopoma fimbria	Anoplopoma fimbria	AH115134	Anoplopoma fimbria	NCBI gene ID based annotations about Anoplopoma fimbria	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	229290	org.Anoplopoma_fimbria.eg.sqlite
Antechinus flavipes	Antechinus flavipes	AH115262	Antechinus flavipes	NCBI gene ID based annotations about Antechinus flavipes	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	38775	org.Antechinus_flavipes.eg.sqlite
Antrodia serialis	Antrodia serialis	AH115796	Antrodia serialis	NCBI gene ID based annotations about Antrodia serialis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	139415	org.Antrodia_serialis.eg.sqlite
Antrostomus carolinensis	Antrostomus carolinensis	AH115974	Antrostomus carolinensis	NCBI gene ID based annotations about Antrostomus carolinensis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	279965	org.Antrostomus_carolinensis.eg.sqlite
Anubis baboon	Anubis baboon	AH114447	Anubis baboon	NCBI gene ID based annotations about Anubis baboon	panubis	Papio anubis	OrgDb	2023-10-20	NCBI/UniProt	9555	org.Anubis_baboon.eg.sqlite
Aotus nancymaae	Aotus nancymaae	AH114856	Aotus nancymaae	NCBI gene ID based annotations about Aotus nancymaae	anancymaae	Aotus nancymaae	OrgDb	2023-10-20	NCBI/UniProt	37293	org.Aotus_nancymaae.eg.sqlite
Apanteles glomeratus	Apanteles glomeratus	AH115837	Apanteles glomeratus	NCBI gene ID based annotations about Apanteles glomeratus	cggca020080835v1	Cotesia glomerata	OrgDb	2023-10-20	NCBI/UniProt	32391	org.Apanteles_glomeratus.eg.sqlite
Aphanomyces astaci	Aphanomyces astaci	AH115676	Aphanomyces astaci	NCBI gene ID based annotations about Aphanomyces astaci	aastaci	Aphanomyces astaci	OrgDb	2023-10-20	NCBI/UniProt	112090	org.Aphanomyces_astaci.eg.sqlite
Aphanomyces invadans	Aphanomyces invadans	AH116021	Aphanomyces invadans	NCBI gene ID based annotations about Aphanomyces invadans	ainvadans	Aphanomyces invadans	OrgDb	2023-10-20	NCBI/UniProt	157072	org.Aphanomyces_invadans.eg.sqlite
Aphantopus hyperantus	Aphantopus hyperantus	AH116012	Aphantopus hyperantus	NCBI gene ID based annotations about Aphantopus hyperantus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	2795564	org.Aphantopus_hyperantus.eg.sqlite
Aphis gossypii	Aphis gossypii	AH115712	Aphis gossypii	NCBI gene ID based annotations about Aphis gossypii	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	80765	org.Aphis_gossypii.eg.sqlite
Aphritis gobio	Aphritis gobio	AH115414	Aphritis gobio	NCBI gene ID based annotations about Aphritis gobio	cgobio	Cottoperca gobio	OrgDb	2023-10-20	NCBI/UniProt	56716	org.Aphritis_gobio.eg.sqlite
Aplocheilus melastigmus	Aplocheilus melastigmus	AH115124	Aplocheilus melastigmus	NCBI gene ID based annotations about Aplocheilus melastigmus	omelastigma	Oryzias melastigma	OrgDb	2023-10-20	NCBI/UniProt	30732	org.Aplocheilus_melastigmus.eg.sqlite
Aplysia californica	Aplysia californica	AH115582	Aplysia californica	NCBI gene ID based annotations about Aplysia californica	acgca000002075v2	Aplysia californica	OrgDb	2023-10-20	NCBI/UniProt	6500	org.Aplysia_californica.eg.sqlite
Apodemus sylvaticus	Apodemus sylvaticus	AH114621	Apodemus sylvaticus	NCBI gene ID based annotations about Apodemus sylvaticus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	10129	org.Apodemus_sylvaticus.eg.sqlite
Apogon orbicularis	Apogon orbicularis	AH115023	Apogon orbicularis	NCBI gene ID based annotations about Apogon orbicularis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	375764	org.Apogon_orbicularis.eg.sqlite
Aptenodytes forsteri	Aptenodytes forsteri	AH116025	Aptenodytes forsteri	NCBI gene ID based annotations about Aptenodytes forsteri	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	9233	org.Aptenodytes_forsteri.eg.sqlite
Apteryx australis_mantelli	Apteryx australis_mantelli	AH115727	Apteryx australis_mantelli	NCBI gene ID based annotations about Apteryx australis_mantelli	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	202946	org.Apteryx_australis_mantelli.eg.sqlite
Apteryx australis_rowii	Apteryx australis_rowii	AH115757	Apteryx australis_rowii	NCBI gene ID based annotations about Apteryx australis_rowii	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	308060	org.Apteryx_australis_rowii.eg.sqlite
Apus apus	Apus apus	AH115884	Apus apus	NCBI gene ID based annotations about Apus apus	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	8895	org.Apus_apus.eg.sqlite
Aquila chrysaetos_chrysaetos	Aquila chrysaetos_chrysaetos	AH115604	Aquila chrysaetos_chrysaetos	NCBI gene ID based annotations about Aquila chrysaetos_chrysaetos	acchrysaetos	Aquila chrysaetos chrysaetos	OrgDb	2023-10-20	NCBI/UniProt	223781	org.Aquila_chrysaetos_chrysaetos.eg.sqlite
Arabidopsis lyrata_subsp._lyrata	Arabidopsis lyrata_subsp._lyrata	AH114639	Arabidopsis lyrata_subsp._lyrata	NCBI gene ID based annotations about Arabidopsis lyrata_subsp._lyrata	alyrata	Arabidopsis lyrata subsp. lyrata	OrgDb	2023-10-20	NCBI/UniProt	81972	org.Arabidopsis_lyrata_subsp._lyrata.eg.sqlite
Arabidopsis salsuginea	Arabidopsis salsuginea	AH114707	Arabidopsis salsuginea	NCBI gene ID based annotations about Arabidopsis salsuginea	esalsugineum	Eutrema salsugineum	OrgDb	2023-10-20	NCBI/UniProt	72664	org.Arabidopsis_salsuginea.eg.sqlite
Arabidopsis thaliana	Arabidopsis thaliana	AH114076	Arabidopsis thaliana	NCBI gene ID based annotations about Arabidopsis thaliana	athaliana	Arabidopsis thaliana	OrgDb	2023-10-03	NCBI/ensembl	3702	org.At.tair.db.sqlite
Arachis duranensis	Arachis duranensis	AH114356	Arachis duranensis	NCBI gene ID based annotations about Arachis duranensis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	130453	org.Arachis_duranensis.eg.sqlite
Arachis hypogaea	Arachis hypogaea	AH114199	Arachis hypogaea	NCBI gene ID based annotations about Arachis hypogaea	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	3818	org.Arachis_hypogaea.eg.sqlite
Arachis ipaensis	Arachis ipaensis	AH114307	Arachis ipaensis	NCBI gene ID based annotations about Arachis ipaensis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	130454	org.Arachis_ipaensis.eg.sqlite
Arachis stenosperma	Arachis stenosperma	AH114295	Arachis stenosperma	NCBI gene ID based annotations about Arachis stenosperma	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	217475	org.Arachis_stenosperma.eg.sqlite
Ardea americana	Ardea americana	AH115621	Ardea americana	NCBI gene ID based annotations about Ardea americana	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	9117	org.Ardea_americana.eg.sqlite
Ardea garzetta	Ardea garzetta	AH116031	Ardea garzetta	NCBI gene ID based annotations about Ardea garzetta	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	188379	org.Ardea_garzetta.eg.sqlite
Ardea helias	Ardea helias	AH116105	Ardea helias	NCBI gene ID based annotations about Ardea helias	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	54383	org.Ardea_helias.eg.sqlite
Argentina anserina_subsp._anserina	Argentina anserina_subsp._anserina	AH115508	Argentina anserina_subsp._anserina	NCBI gene ID based annotations about Argentina anserina_subsp._anserina	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	57926	org.Argentina_anserina_subsp._anserina.eg.sqlite
Argiope bruennichi	Argiope bruennichi	AH114489	Argiope bruennichi	NCBI gene ID based annotations about Argiope bruennichi	abgca947563725v1rs	Argiope bruennichi	OrgDb	2023-10-20	NCBI/UniProt	94029	org.Argiope_bruennichi.eg.sqlite
Aricia agestis	Aricia agestis	AH116041	Aricia agestis	NCBI gene ID based annotations about Aricia agestis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	91739	org.Aricia_agestis.eg.sqlite
Armeniaca mume	Armeniaca mume	AH115321	Armeniaca mume	NCBI gene ID based annotations about Armeniaca mume	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	102107	org.Armeniaca_mume.eg.sqlite
Artibeus jamaicensis	Artibeus jamaicensis	AH115045	Artibeus jamaicensis	NCBI gene ID based annotations about Artibeus jamaicensis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	9417	org.Artibeus_jamaicensis.eg.sqlite
